candidate,won,first_win_tick,best_10_tick_flow,best_10_tick_swaps,total_swaps,total_reactions,sustained_ticks,active_cells,glowing_cells,non_glowing_required_cells,missing_required_resources,non_glowing_cell_ids,final_score,connected_cells,layout_score,diagnostics
40,false,-1,24.10,241,18174,6293,0,24,9,15,0,cell-a-001|cell-a-002|cell-c-001|cell-i-001|cell-k-001|cell-k-002|cell-l-001|cell-m-001|cell-n-001|cell-o-001|cell-p-001|cell-q-001|red-myco-001|red-myco-003|red-myco-004,19562,24,2461973,"needs-repair cell-b-001: empty/local stress K->A from adjacent cell-d-001 (nonzero carried need); alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-a-002,cell-c-001,cell-i-001,cell-k-001,cell-k-002,cell-l-001,cell-m-001,cell-n-001,cell-o-001,cell-p-001,cell-q-001,red-myco-001,red-myco-003,red-myco-004;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[red-myco-001]|[red-myco-003]|[red-myco-004];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[red-myco-001]|[red-myco-003]|[red-myco-004]"
41,false,-1,24.20,242,18470,5727,0,24,8,16,1,cell-a-001|cell-a-002|cell-b-001|cell-c-001|cell-i-001|cell-k-001|cell-k-002|cell-l-001|cell-m-001|cell-n-001|cell-o-001|cell-p-001|cell-q-001|red-myco-001|red-myco-003|red-myco-004,12604,24,2463323,"needs-repair cell-b-001: empty/local stress K->N from adjacent cell-d-001 (nonzero carried need); alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-a-002,cell-b-001,cell-c-001,cell-i-001,cell-k-001,cell-k-002,cell-l-001,cell-m-001,cell-n-001,cell-o-001,cell-p-001,cell-q-001,red-myco-001,red-myco-003,red-myco-004;missingResources=B;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[red-myco-001]|[red-myco-003]|[red-myco-004];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[red-myco-001]|[red-myco-003]|[red-myco-004]"
42,false,-1,23.70,237,17595,5695,0,24,8,16,1,cell-a-001|cell-a-002|cell-b-001|cell-c-001|cell-i-001|cell-k-001|cell-k-002|cell-l-001|cell-m-001|cell-n-001|cell-o-001|cell-p-001|cell-q-001|red-myco-001|red-myco-003|red-myco-004,12216,24,2463773,"needs-repair cell-b-001: empty/local stress K->Q from adjacent cell-d-001 (nonzero carried need); alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-a-002,cell-b-001,cell-c-001,cell-i-001,cell-k-001,cell-k-002,cell-l-001,cell-m-001,cell-n-001,cell-o-001,cell-p-001,cell-q-001,red-myco-001,red-myco-003,red-myco-004;missingResources=B;strong=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-001]|[red-myco-003]|[red-myco-004];weak=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-001]|[red-myco-003]|[red-myco-004]"
43,false,-1,23.70,237,17595,5695,0,24,8,16,1,cell-a-001|cell-a-002|cell-b-001|cell-c-001|cell-i-001|cell-k-001|cell-k-002|cell-l-001|cell-m-001|cell-n-001|cell-o-001|cell-p-001|cell-q-001|red-myco-001|red-myco-003|red-myco-004,12216,24,2461673,"needs-repair cell-c-001: empty/local stress M->E from adjacent cell-h-001 (nonzero carried need); alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-a-002,cell-b-001,cell-c-001,cell-i-001,cell-k-001,cell-k-002,cell-l-001,cell-m-001,cell-n-001,cell-o-001,cell-p-001,cell-q-001,red-myco-001,red-myco-003,red-myco-004;missingResources=B;strong=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-001]|[red-myco-003]|[red-myco-004];weak=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-001]|[red-myco-003]|[red-myco-004]"
44,false,-1,23.70,237,17595,5695,0,24,8,16,1,cell-a-001|cell-a-002|cell-b-001|cell-c-001|cell-i-001|cell-k-001|cell-k-002|cell-l-001|cell-m-001|cell-n-001|cell-o-001|cell-p-001|cell-q-001|red-myco-001|red-myco-003|red-myco-004,12216,24,2508973,"needs-repair cell-c-001: empty/local stress M->H from adjacent cell-h-001 (produced); alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-a-002,cell-b-001,cell-c-001,cell-i-001,cell-k-001,cell-k-002,cell-l-001,cell-m-001,cell-n-001,cell-o-001,cell-p-001,cell-q-001,red-myco-001,red-myco-003,red-myco-004;missingResources=B;strong=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-001]|[red-myco-003]|[red-myco-004];weak=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-001]|[red-myco-003]|[red-myco-004]"
45,false,-1,23.70,237,17595,5695,0,24,8,16,1,cell-a-001|cell-a-002|cell-b-001|cell-c-001|cell-i-001|cell-k-001|cell-k-002|cell-l-001|cell-m-001|cell-n-001|cell-o-001|cell-p-001|cell-q-001|red-myco-001|red-myco-003|red-myco-004,12216,24,2461223,"needs-repair cell-c-001: empty/local stress M->I from adjacent cell-h-001 (nonzero carried need); alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-a-002,cell-b-001,cell-c-001,cell-i-001,cell-k-001,cell-k-002,cell-l-001,cell-m-001,cell-n-001,cell-o-001,cell-p-001,cell-q-001,red-myco-001,red-myco-003,red-myco-004;missingResources=B;strong=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-001]|[red-myco-003]|[red-myco-004];weak=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-001]|[red-myco-003]|[red-myco-004]"
46,false,-1,24.10,241,18470,7486,0,24,10,14,0,cell-a-002|cell-b-001|cell-i-001|cell-k-001|cell-k-002|cell-l-001|cell-m-001|cell-n-001|cell-o-001|cell-p-001|cell-q-001|red-myco-001|red-myco-003|red-myco-004,33698,24,2460423,"needs-repair cell-a-001: empty/local stress Q->C from adjacent cell-d-002 (nonzero carried need); cell-c-001: empty/local stress M->A from adjacent cell-d-002 (nonzero carried need); alive=False;won=False;sustained=0;nonGlowing=cell-a-002,cell-b-001,cell-i-001,cell-k-001,cell-k-002,cell-l-001,cell-m-001,cell-n-001,cell-o-001,cell-p-001,cell-q-001,red-myco-001,red-myco-003,red-myco-004;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[red-myco-001]|[red-myco-003]|[red-myco-004];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[red-myco-001]|[red-myco-003]|[red-myco-004]"
47,false,-1,24.40,244,18475,7486,0,24,10,14,0,cell-a-002|cell-b-001|cell-i-001|cell-k-001|cell-k-002|cell-l-001|cell-m-001|cell-n-001|cell-o-001|cell-p-001|cell-q-001|red-myco-001|red-myco-003|red-myco-004,34592,24,2461923,"needs-repair cell-a-001: empty/local stress Q->C from adjacent cell-d-002 (nonzero carried need); cell-c-001: empty/local stress M->A from adjacent cell-d-002 (nonzero carried need); cell-i-001: empty/local stress K->H from adjacent cell-a-002 (nonzero carried need); alive=False;won=False;sustained=0;nonGlowing=cell-a-002,cell-b-001,cell-i-001,cell-k-001,cell-k-002,cell-l-001,cell-m-001,cell-n-001,cell-o-001,cell-p-001,cell-q-001,red-myco-001,red-myco-003,red-myco-004;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[red-myco-001]|[red-myco-003]|[red-myco-004];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[red-myco-001]|[red-myco-003]|[red-myco-004]"
48,false,-1,24.20,242,17615,6635,0,24,9,15,1,cell-a-002|cell-b-001|cell-c-001|cell-i-001|cell-k-001|cell-k-002|cell-l-001|cell-m-001|cell-n-001|cell-o-001|cell-p-001|cell-q-001|red-myco-001|red-myco-003|red-myco-004,23850,24,2461673,"needs-repair cell-a-001: empty/local stress Q->C from adjacent cell-d-002 (nonzero carried need); cell-c-001: empty/local stress M->P from adjacent cell-d-002 (nonzero carried need); alive=False;won=False;sustained=0;nonGlowing=cell-a-002,cell-b-001,cell-c-001,cell-i-001,cell-k-001,cell-k-002,cell-l-001,cell-m-001,cell-n-001,cell-o-001,cell-p-001,cell-q-001,red-myco-001,red-myco-003,red-myco-004;missingResources=B;strong=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-001]|[red-myco-003]|[red-myco-004];weak=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-001]|[red-myco-003]|[red-myco-004]"
49,false,-1,24.50,245,17593,6591,0,24,9,15,1,cell-a-002|cell-b-001|cell-c-001|cell-i-001|cell-k-001|cell-k-002|cell-l-001|cell-m-001|cell-n-001|cell-o-001|cell-p-001|cell-q-001|red-myco-001|red-myco-003|red-myco-004,23892,24,2461373,"needs-repair cell-a-001: empty/local stress Q->C from adjacent cell-d-002 (nonzero carried need); cell-i-001: empty/local stress K->H from adjacent cell-a-002 (nonzero carried need); alive=False;won=False;sustained=0;nonGlowing=cell-a-002,cell-b-001,cell-c-001,cell-i-001,cell-k-001,cell-k-002,cell-l-001,cell-m-001,cell-n-001,cell-o-001,cell-p-001,cell-q-001,red-myco-001,red-myco-003,red-myco-004;missingResources=B;strong=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-001]|[red-myco-003]|[red-myco-004];weak=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-001]|[red-myco-003]|[red-myco-004]"
50,false,-1,24.50,245,17593,6591,0,24,9,15,1,cell-a-002|cell-b-001|cell-c-001|cell-i-001|cell-k-001|cell-k-002|cell-l-001|cell-m-001|cell-n-001|cell-o-001|cell-p-001|cell-q-001|red-myco-001|red-myco-003|red-myco-004,23892,24,2459973,"needs-repair cell-a-001: empty/local stress Q->C from adjacent cell-d-002 (nonzero carried need); cell-i-001: empty/local stress O->H from adjacent cell-a-002 (nonzero carried need); alive=False;won=False;sustained=0;nonGlowing=cell-a-002,cell-b-001,cell-c-001,cell-i-001,cell-k-001,cell-k-002,cell-l-001,cell-m-001,cell-n-001,cell-o-001,cell-p-001,cell-q-001,red-myco-001,red-myco-003,red-myco-004;missingResources=B;strong=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-001]|[red-myco-003]|[red-myco-004];weak=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-001]|[red-myco-003]|[red-myco-004]"
51,false,-1,25.30,253,18474,6887,0,24,10,14,1,cell-a-002|cell-b-001|cell-c-001|cell-i-001|cell-k-001|cell-k-002|cell-l-001|cell-m-001|cell-n-001|cell-o-001|cell-p-001|cell-q-001|red-myco-003|red-myco-004,27492,24,2547123,"needs-repair cell-a-001: empty/local stress Q->C from adjacent cell-d-002 (nonzero carried need); cell-k-001: empty/local stress B->F from adjacent cell-f-001 (produced); alive=False;won=False;sustained=0;nonGlowing=cell-a-002,cell-b-001,cell-c-001,cell-i-001,cell-k-001,cell-k-002,cell-l-001,cell-m-001,cell-n-001,cell-o-001,cell-p-001,cell-q-001,red-myco-003,red-myco-004;missingResources=B;strong=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-001,red-myco-002]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-003]|[red-myco-004];weak=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-001,red-myco-002]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-003]|[red-myco-004]"
52,false,-1,25.10,251,19168,6885,0,24,11,13,1,cell-a-002|cell-b-001|cell-c-001|cell-i-001|cell-k-001|cell-k-002|cell-l-001|cell-m-001|cell-n-001|cell-o-001|cell-p-001|cell-q-001|red-myco-004,27417,24,2460883,"needs-repair cell-a-001: empty/local stress Q->C from adjacent cell-d-002 (nonzero carried need); cell-k-001: empty/local stress B->G from adjacent cell-f-001 (nonzero carried need); alive=False;won=False;sustained=0;nonGlowing=cell-a-002,cell-b-001,cell-c-001,cell-i-001,cell-k-001,cell-k-002,cell-l-001,cell-m-001,cell-n-001,cell-o-001,cell-p-001,cell-q-001,red-myco-004;missingResources=B;strong=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-001,red-myco-002,red-myco-003]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-004];weak=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-001,red-myco-002,red-myco-003]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-004]"
53,false,-1,25.10,251,18986,6840,0,24,9,15,1,cell-a-002|cell-b-001|cell-c-001|cell-i-001|cell-k-001|cell-k-002|cell-l-001|cell-m-001|cell-n-001|cell-o-001|cell-p-001|cell-q-001|red-myco-001|red-myco-003|red-myco-004,26861,24,2460383,"needs-repair cell-a-001: empty/local stress Q->C from adjacent cell-d-002 (nonzero carried need); cell-k-001: empty/local stress B->J from adjacent cell-f-001 (nonzero carried need); alive=False;won=False;sustained=0;nonGlowing=cell-a-002,cell-b-001,cell-c-001,cell-i-001,cell-k-001,cell-k-002,cell-l-001,cell-m-001,cell-n-001,cell-o-001,cell-p-001,cell-q-001,red-myco-001,red-myco-003,red-myco-004;missingResources=B;strong=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-001]|[red-myco-003]|[red-myco-004];weak=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-001]|[red-myco-003]|[red-myco-004]"
54,false,-1,25.30,253,18474,6887,0,24,10,14,1,cell-a-002|cell-b-001|cell-c-001|cell-i-001|cell-k-001|cell-k-002|cell-l-001|cell-m-001|cell-n-001|cell-o-001|cell-p-001|cell-q-001|red-myco-003|red-myco-004,27492,24,2545473,"needs-repair cell-a-001: empty/local stress Q->C from adjacent cell-d-002 (nonzero carried need); cell-k-001: empty/local stress C->F from adjacent cell-f-001 (produced); alive=False;won=False;sustained=0;nonGlowing=cell-a-002,cell-b-001,cell-c-001,cell-i-001,cell-k-001,cell-k-002,cell-l-001,cell-m-001,cell-n-001,cell-o-001,cell-p-001,cell-q-001,red-myco-003,red-myco-004;missingResources=B;strong=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-001,red-myco-002]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-003]|[red-myco-004];weak=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-001,red-myco-002]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-003]|[red-myco-004]"
55,false,-1,25.10,251,19168,6885,0,24,11,13,1,cell-a-002|cell-b-001|cell-c-001|cell-i-001|cell-k-001|cell-k-002|cell-l-001|cell-m-001|cell-n-001|cell-o-001|cell-p-001|cell-q-001|red-myco-004,27417,24,2459273,"needs-repair cell-a-001: empty/local stress Q->C from adjacent cell-d-002 (nonzero carried need); cell-k-001: empty/local stress C->G from adjacent cell-f-001 (nonzero carried need); alive=False;won=False;sustained=0;nonGlowing=cell-a-002,cell-b-001,cell-c-001,cell-i-001,cell-k-001,cell-k-002,cell-l-001,cell-m-001,cell-n-001,cell-o-001,cell-p-001,cell-q-001,red-myco-004;missingResources=B;strong=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-001,red-myco-002,red-myco-003]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-004];weak=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-001,red-myco-002,red-myco-003]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-004]"
56,false,-1,25.10,251,18986,6840,0,24,9,15,1,cell-a-002|cell-b-001|cell-c-001|cell-i-001|cell-k-001|cell-k-002|cell-l-001|cell-m-001|cell-n-001|cell-o-001|cell-p-001|cell-q-001|red-myco-001|red-myco-003|red-myco-004,26861,24,2458773,"needs-repair cell-a-001: empty/local stress Q->C from adjacent cell-d-002 (nonzero carried need); cell-k-001: empty/local stress C->J from adjacent cell-f-001 (nonzero carried need); alive=False;won=False;sustained=0;nonGlowing=cell-a-002,cell-b-001,cell-c-001,cell-i-001,cell-k-001,cell-k-002,cell-l-001,cell-m-001,cell-n-001,cell-o-001,cell-p-001,cell-q-001,red-myco-001,red-myco-003,red-myco-004;missingResources=B;strong=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-001]|[red-myco-003]|[red-myco-004];weak=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-001]|[red-myco-003]|[red-myco-004]"
57,false,-1,24.20,242,18580,6655,0,24,11,13,1,cell-a-002|cell-b-001|cell-c-001|cell-i-001|cell-k-001|cell-k-002|cell-l-001|cell-m-001|cell-n-001|cell-o-001|cell-p-001|cell-q-001|red-myco-004,23796,24,2461183,"needs-repair cell-a-001: empty/local stress Q->C from adjacent cell-d-002 (nonzero carried need); cell-k-002: empty/local stress L->M from adjacent cell-j-001 (nonzero carried need); alive=False;won=False;sustained=0;nonGlowing=cell-a-002,cell-b-001,cell-c-001,cell-i-001,cell-k-001,cell-k-002,cell-l-001,cell-m-001,cell-n-001,cell-o-001,cell-p-001,cell-q-001,red-myco-004;missingResources=B;strong=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-001,red-myco-002,red-myco-003]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-004];weak=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-001,red-myco-002,red-myco-003]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-004]"
58,false,-1,24.30,243,18220,7775,0,24,11,13,1,cell-a-002|cell-b-001|cell-c-001|cell-i-001|cell-k-001|cell-k-002|cell-l-001|cell-n-001|cell-o-001|cell-p-001|cell-q-001|red-myco-001|red-myco-004,37237,24,2565793,"needs-repair cell-a-001: empty/local stress Q->C from adjacent cell-d-002 (nonzero carried need); cell-m-001: empty/local stress N->J from adjacent cell-j-001 (produced); alive=False;won=False;sustained=0;nonGlowing=cell-a-002,cell-b-001,cell-c-001,cell-i-001,cell-k-001,cell-k-002,cell-l-001,cell-n-001,cell-o-001,cell-p-001,cell-q-001,red-myco-001,red-myco-004;missingResources=B;strong=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002,red-myco-003]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-001]|[red-myco-004];weak=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002,red-myco-003]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-001]|[red-myco-004]"
